time,kf_cov_x,kf_cov_y,kf_cov_theta,ekf_cov_x,ekf_cov_y,ekf_cov_theta,pf_cov_x,pf_cov_y,pf_cov_theta
10.2005,0.0195,0.0195,0.0000,0.0179,0.0179,0.0179,0.0073,0.0004,0.0046
10.3001,0.0198,0.0198,0.0000,0.0179,0.0179,0.0179,0.0073,0.0004,0.0047
10.4002,0.0199,0.0199,0.0000,0.0179,0.0179,0.0179,0.0073,0.0004,0.0048
10.5002,0.0199,0.0199,0.0000,0.0179,0.0179,0.0179,0.0077,0.0003,0.0048
10.6004,0.0199,0.0199,0.0000,0.0179,0.0179,0.0179,0.0078,0.0003,0.0047
10.7003,0.0209,0.0209,0.0000,0.0179,0.0179,0.0179,0.0097,0.0004,0.0052
10.8002,0.0202,0.0202,0.0000,0.0179,0.0179,0.0179,0.0098,0.0003,0.0053
10.9005,0.0199,0.0199,0.0000,0.0179,0.0179,0.0179,0.0095,0.0003,0.0054
11.0013,0.0200,0.0200,0.0000,0.0179,0.0179,0.0179,0.0087,0.0003,0.0055
11.1003,0.0198,0.0198,0.0000,0.0179,0.0179,0.0179,0.0083,0.0003,0.0054
11.2002,0.0190,0.0190,0.0000,0.0179,0.0179,0.0179,0.0078,0.0003,0.0051
11.3009,0.0197,0.0197,0.0000,0.0179,0.0179,0.0179,0.0071,0.0003,0.0047
11.4007,0.0198,0.0198,0.0000,0.0179,0.0179,0.0179,0.0078,0.0003,0.0047
11.5003,0.0195,0.0195,0.0000,0.0179,0.0179,0.0179,0.0083,0.0003,0.0045
11.6003,0.0194,0.0194,0.0000,0.0179,0.0179,0.0179,0.0082,0.0003,0.0045
11.7003,0.0194,0.0194,0.0000,0.0179,0.0179,0.0179,0.0080,0.0003,0.0046
11.8010,0.0194,0.0194,0.0000,0.0179,0.0179,0.0179,0.0078,0.0003,0.0047
11.9005,0.0199,0.0199,0.0000,0.0179,0.0179,0.0179,0.0083,0.0003,0.0051
12.0003,0.0194,0.0194,0.0000,0.0179,0.0179,0.0179,0.0081,0.0003,0.0050
12.1002,0.0191,0.0191,0.0000,0.0179,0.0179,0.0179,0.0079,0.0003,0.0051
12.2003,0.0191,0.0191,0.0000,0.0179,0.0179,0.0179,0.0079,0.0003,0.0049
12.3005,0.0191,0.0191,0.0000,0.0179,0.0179,0.0179,0.0074,0.0003,0.0047
12.4003,0.0191,0.0191,0.0000,0.0179,0.0179,0.0179,0.0072,0.0003,0.0050
12.5024,0.0190,0.0190,0.0000,0.0179,0.0179,0.0179,0.0070,0.0003,0.0049
