time,rmse_kf,rmse_ekf,rmse_pf,error_x_kf,error_y_kf,error_x_ekf,error_y_ekf,error_x_pf,error_y_pf
9.8004,0.0000,0.0000,0.0146,-0.0000,0.0000,-0.0000,0.0000,-0.0016,-0.0153
9.9040,0.0000,0.0000,0.0146,-0.0000,0.0000,0.0000,-0.0000,-0.0019,-0.0155
10.0009,0.0000,0.0000,0.0147,-0.0000,0.0000,0.0000,-0.0000,-0.0030,-0.0156
10.1013,0.0000,0.0000,0.0147,-0.0000,0.0000,0.0000,-0.0000,-0.0035,-0.0158
10.2005,0.0000,0.0000,0.0147,-0.0000,0.0000,0.0000,-0.0000,0.0026,-0.0161
10.3001,0.0000,0.0000,0.0147,-0.0000,0.0000,0.0000,-0.0000,0.0013,-0.0160
10.4002,0.0000,0.0000,0.0148,-0.0000,0.0000,0.0000,-0.0000,0.0007,-0.0159
10.5002,0.0000,0.0000,0.0148,-0.0000,0.0000,0.0000,-0.0000,0.0018,-0.0162
10.6004,0.0000,0.0000,0.0148,-0.0000,0.0000,0.0000,-0.0000,0.0012,-0.0162
10.7003,0.0000,0.0000,0.0148,-0.0000,0.0000,0.0000,-0.0000,0.0024,-0.0161
10.8002,0.0000,0.0000,0.0149,-0.0000,0.0000,0.0000,-0.0000,0.0035,-0.0165
10.9005,0.0000,0.0000,0.0149,-0.0000,0.0000,0.0000,-0.0000,0.0017,-0.0164
11.0013,0.0000,0.0000,0.0149,-0.0000,0.0000,0.0000,-0.0000,0.0002,-0.0163
11.1003,0.0000,0.0000,0.0149,-0.0000,0.0000,0.0000,-0.0000,0.0017,-0.0161
11.2002,0.0000,0.0000,0.0149,-0.0000,0.0000,0.0000,-0.0000,0.0013,-0.0161
11.3009,0.0000,0.0000,0.0150,0.0000,-0.0000,0.0000,-0.0000,0.0026,-0.0162
11.4007,0.0000,0.0000,0.0150,0.0000,-0.0000,-0.0000,0.0000,-0.0006,-0.0165
11.5003,0.0000,0.0000,0.0150,0.0000,-0.0000,-0.0000,0.0000,0.0021,-0.0167
11.6003,0.0000,0.0000,0.0150,0.0000,-0.0000,-0.0000,0.0000,0.0038,-0.0169
11.7003,0.0000,0.0000,0.0151,0.0000,-0.0000,0.0000,-0.0000,0.0051,-0.0169
11.8010,0.0000,0.0000,0.0151,0.0000,-0.0000,0.0000,-0.0000,0.0046,-0.0168
11.9005,0.0000,0.0000,0.0152,0.0000,-0.0000,0.0000,-0.0000,0.0081,-0.0169
12.0003,0.0000,0.0000,0.0152,-0.0000,0.0000,0.0000,-0.0000,0.0063,-0.0169
12.1002,0.0000,0.0000,0.0152,-0.0000,0.0000,0.0000,-0.0000,0.0057,-0.0170
12.2003,0.0000,0.0000,0.0153,-0.0000,0.0000,0.0000,-0.0000,0.0053,-0.0170
12.3005,0.0000,0.0000,0.0153,-0.0000,0.0000,0.0000,-0.0000,0.0044,-0.0169
12.4003,0.0000,0.0000,0.0153,-0.0000,0.0000,0.0000,-0.0000,0.0024,-0.0168
12.5024,0.0000,0.0000,0.0153,-0.0000,0.0000,0.0000,-0.0000,0.0001,-0.0168
12.6002,0.0000,0.0000,0.0154,-0.0000,0.0000,0.0000,-0.0000,-0.0000,-0.0167
12.7003,0.0000,0.0000,0.0154,-0.0000,0.0000,0.0000,-0.0000,-0.0010,-0.0166
12.8002,0.0000,0.0000,0.0154,-0.0000,0.0000,0.0000,-0.0000,-0.0022,-0.0166
12.9001,0.0000,0.0000,0.0154,-0.0000,0.0000,0.0000,-0.0000,-0.0006,-0.0165
13.0003,0.0000,0.0000,0.0154,-0.0000,0.0000,0.0000,-0.0000,0.0001,-0.0164
13.1001,0.0000,0.0000,0.0154,0.0000,-0.0000,0.0000,-0.0000,0.0006,-0.0161
13.2002,0.0000,0.0000,0.0154,0.0000,-0.0000,-0.0000,0.0000,-0.0013,-0.0161
13.3006,0.0000,0.0000,0.0154,0.0000,-0.0000,-0.0000,0.0000,-0.0012,-0.0159
13.4006,0.0000,0.0000,0.0154,0.0000,-0.0000,0.0000,-0.0000,-0.0071,-0.0157
13.5002,0.0000,0.0000,0.0155,0.0000,-0.0000,0.0000,-0.0000,-0.0071,-0.0157
13.6032,0.0000,0.0000,0.0155,0.0000,-0.0000,0.0000,-0.0000,-0.0056,-0.0157
13.7002,0.0000,0.0000,0.0155,-0.0000,0.0000,0.0000,-0.0000,-0.0057,-0.0157
13.8002,0.0000,0.0000,0.0155,-0.0000,0.0000,0.0000,-0.0000,-0.0047,-0.0158
13.9004,0.0000,0.0000,0.0155,-0.0000,0.0000,0.0000,-0.0000,-0.0027,-0.0159
14.0003,0.0000,0.0000,0.0155,-0.0000,0.0000,0.0000,-0.0000,-0.0022,-0.0160
14.1006,0.0000,0.0000,0.0155,-0.0000,0.0000,0.0000,-0.0000,-0.0006,-0.0162
14.2001,0.0000,0.0000,0.0155,-0.0000,0.0000,0.0000,-0.0000,-0.0014,-0.0163
14.3003,0.0000,0.0000,0.0155,-0.0000,0.0000,0.0000,-0.0000,0.0011,-0.0162
14.4003,0.0000,0.0000,0.0156,-0.0000,0.0000,0.0000,-0.0000,0.0055,-0.0163
14.5003,0.0000,0.0000,0.0156,-0.0000,0.0000,0.0000,-0.0000,0.0044,-0.0163
14.6037,0.0000,0.0000,0.0156,-0.0000,0.0000,0.0000,-0.0000,0.0034,-0.0166
14.7002,0.0000,0.0000,0.0156,0.0000,-0.0000,0.0000,-0.0000,0.0023,-0.0167
14.8001,0.0000,0.0000,0.0156,0.0000,-0.0000,-0.0000,0.0000,0.0026,-0.0168
14.9015,0.0000,0.0000,0.0156,0.0000,-0.0000,-0.0000,0.0000,0.0014,-0.0170
15.0003,0.0000,0.0000,0.0156,0.0000,-0.0000,-0.0000,0.0000,0.0016,-0.0171
15.1002,0.0000,0.0005,0.0157,-0.0000,0.0000,0.0054,-0.0000,0.0073,-0.0171
15.2003,0.0001,0.0010,0.0157,-0.0006,-0.0000,0.0089,-0.0000,0.0133,-0.0172
15.3005,0.0002,0.0014,0.0159,-0.0015,-0.0000,0.0113,0.0000,0.0252,-0.0172
15.4004,0.0003,0.0017,0.0161,-0.0026,-0.0000,0.0095,0.0000,0.0264,-0.0173
15.5003,0.0004,0.0019,0.0164,-0.0035,-0.0000,0.0087,0.0000,0.0309,-0.0174
15.6002,0.0006,0.0020,0.0167,-0.0040,-0.0000,0.0070,0.0000,0.0328,-0.0177
15.7002,0.0007,0.0021,0.0171,-0.0037,-0.0000,0.0084,0.0000,0.0388,-0.0177
15.8003,0.0007,0.0022,0.0174,-0.0034,-0.0000,0.0081,0.0000,0.0375,-0.0176
15.9002,0.0008,0.0023,0.0177,-0.0035,-0.0000,0.0054,0.0000,0.0363,-0.0176
16.0007,0.0010,0.0023,0.0180,-0.0062,-0.0000,0.0053,0.0000,0.0368,-0.0176
16.1001,0.0010,0.0023,0.0184,-0.0031,-0.0000,0.0047,0.0000,0.0390,-0.0177
