time,kf_cov_x,kf_cov_y,kf_cov_theta,ekf_cov_x,ekf_cov_y,ekf_cov_theta,pf_cov_x,pf_cov_y,pf_cov_theta
10.0038,0.0191,0.0191,0.0000,0.0179,0.0179,0.0179,0.0049,0.0000,0.0038
10.1007,0.0193,0.0193,0.0000,0.0179,0.0179,0.0179,0.0052,0.0000,0.0037
10.2001,0.0191,0.0191,0.0000,0.0179,0.0179,0.0179,0.0057,0.0000,0.0036
10.3002,0.0195,0.0195,0.0000,0.0179,0.0179,0.0179,0.0059,0.0000,0.0039
10.4002,0.0189,0.0189,0.0000,0.0179,0.0179,0.0179,0.0055,0.0000,0.0038
10.5002,0.0193,0.0193,0.0000,0.0179,0.0179,0.0179,0.0060,0.0000,0.0040
10.6002,0.0191,0.0191,0.0000,0.0179,0.0179,0.0179,0.0059,0.0000,0.0039
10.7010,0.0195,0.0195,0.0000,0.0179,0.0179,0.0179,0.0063,0.0001,0.0040
10.8015,0.0195,0.0195,0.0000,0.0179,0.0179,0.0179,0.0067,0.0001,0.0040
10.9004,0.0202,0.0202,0.0000,0.0179,0.0179,0.0179,0.0080,0.0001,0.0048
11.0002,0.0196,0.0196,0.0000,0.0179,0.0179,0.0179,0.0076,0.0001,0.0045
11.1050,0.0193,0.0193,0.0000,0.0179,0.0179,0.0179,0.0075,0.0001,0.0043
11.2002,0.0191,0.0191,0.0000,0.0179,0.0179,0.0179,0.0072,0.0001,0.0044
11.3002,0.0193,0.0193,0.0000,0.0179,0.0179,0.0179,0.0072,0.0001,0.0042
11.4005,0.0192,0.0192,0.0000,0.0179,0.0179,0.0179,0.0071,0.0001,0.0040
11.5040,0.0193,0.0193,0.0000,0.0179,0.0179,0.0179,0.0071,0.0001,0.0039
11.6001,0.0192,0.0192,0.0000,0.0179,0.0179,0.0179,0.0067,0.0001,0.0040
11.7013,0.0193,0.0193,0.0000,0.0179,0.0179,0.0179,0.0068,0.0001,0.0040
11.8003,0.0194,0.0194,0.0000,0.0179,0.0179,0.0179,0.0067,0.0001,0.0043
11.9002,0.0192,0.0192,0.0000,0.0179,0.0179,0.0179,0.0063,0.0001,0.0040
12.0009,0.0194,0.0194,0.0000,0.0179,0.0179,0.0179,0.0064,0.0001,0.0041
12.1001,0.0195,0.0195,0.0000,0.0179,0.0179,0.0179,0.0070,0.0001,0.0043
12.2026,0.0189,0.0189,0.0000,0.0179,0.0179,0.0179,0.0066,0.0001,0.0039
12.3002,0.0189,0.0189,0.0000,0.0179,0.0179,0.0179,0.0065,0.0001,0.0039
