time,rmse_kf,rmse_ekf,rmse_pf,error_x_kf,error_y_kf,error_x_ekf,error_y_ekf,error_x_pf,error_y_pf
9.7002,0.0000,0.0000,0.0187,0.0000,-0.0000,0.0000,-0.0000,-0.0021,-0.0176
9.8002,0.0000,0.0000,0.0187,0.0000,-0.0000,0.0000,-0.0000,-0.0014,-0.0177
9.9002,0.0000,0.0000,0.0187,0.0000,-0.0000,0.0000,-0.0000,0.0000,-0.0177
10.0002,0.0000,0.0000,0.0187,0.0000,-0.0000,0.0000,-0.0000,0.0016,-0.0177
10.1001,0.0000,0.0000,0.0186,0.0000,-0.0000,0.0000,-0.0000,0.0017,-0.0177
10.2001,0.0000,0.0000,0.0186,-0.0000,0.0000,-0.0000,0.0000,0.0028,-0.0177
10.3011,0.0000,0.0000,0.0186,-0.0000,0.0000,-0.0000,0.0000,0.0020,-0.0176
10.4003,0.0000,0.0000,0.0186,0.0000,-0.0000,0.0000,-0.0000,0.0024,-0.0176
10.5005,0.0000,0.0000,0.0186,0.0000,-0.0000,0.0000,-0.0000,0.0052,-0.0175
10.6001,0.0000,0.0000,0.0186,0.0000,-0.0000,0.0000,-0.0000,0.0078,-0.0176
10.7008,0.0000,0.0000,0.0186,0.0000,-0.0000,0.0000,-0.0000,0.0061,-0.0176
10.8001,0.0000,0.0000,0.0186,0.0000,-0.0000,0.0000,-0.0000,0.0062,-0.0176
10.9038,0.0000,0.0000,0.0186,0.0000,-0.0000,0.0000,-0.0000,0.0064,-0.0177
11.0025,0.0000,0.0000,0.0186,0.0000,-0.0000,0.0000,-0.0000,0.0059,-0.0177
11.1037,0.0000,0.0000,0.0186,0.0000,-0.0000,0.0000,-0.0000,0.0062,-0.0176
11.2002,0.0000,0.0000,0.0186,0.0000,-0.0000,0.0000,-0.0000,0.0039,-0.0177
11.3006,0.0000,0.0000,0.0186,0.0000,-0.0000,0.0000,-0.0000,0.0038,-0.0178
11.4002,0.0000,0.0000,0.0186,0.0000,-0.0000,0.0000,-0.0000,0.0018,-0.0178
