time,kf_cov_x,kf_cov_y,kf_cov_theta,ekf_cov_x,ekf_cov_y,ekf_cov_theta,pf_cov_x,pf_cov_y,pf_cov_theta
10.1001,0.0179,0.0179,0.0179,0.0179,0.0179,0.0179,0.0041,0.0000,0.0022
10.2001,0.0179,0.0179,0.0179,0.0179,0.0179,0.0179,0.0042,0.0000,0.0024
10.3011,0.0179,0.0179,0.0179,0.0179,0.0179,0.0179,0.0042,0.0000,0.0023
10.4003,0.0179,0.0179,0.0179,0.0179,0.0179,0.0179,0.0040,0.0000,0.0024
10.5005,0.0179,0.0179,0.0179,0.0179,0.0179,0.0179,0.0041,0.0000,0.0025
10.6001,0.0179,0.0179,0.0179,0.0179,0.0179,0.0179,0.0042,0.0000,0.0027
10.7008,0.0179,0.0179,0.0179,0.0179,0.0179,0.0179,0.0041,0.0000,0.0027
10.8001,0.0179,0.0179,0.0179,0.0179,0.0179,0.0179,0.0042,0.0000,0.0029
10.9038,0.0179,0.0179,0.0179,0.0179,0.0179,0.0179,0.0041,0.0000,0.0029
11.0025,0.0179,0.0179,0.0179,0.0179,0.0179,0.0179,0.0042,0.0000,0.0028
11.1037,0.0179,0.0179,0.0179,0.0179,0.0179,0.0179,0.0040,0.0000,0.0027
11.2002,0.0179,0.0179,0.0179,0.0179,0.0179,0.0179,0.0042,0.0000,0.0028
11.3006,0.0179,0.0179,0.0179,0.0179,0.0179,0.0179,0.0046,0.0000,0.0030
11.4002,0.0179,0.0179,0.0179,0.0179,0.0179,0.0179,0.0052,0.0000,0.0033
11.5001,0.0179,0.0179,0.0179,0.0179,0.0179,0.0179,0.0047,0.0000,0.0031
11.6001,0.0179,0.0179,0.0179,0.0179,0.0179,0.0179,0.0046,0.0000,0.0030
11.7049,0.0179,0.0179,0.0179,0.0179,0.0179,0.0179,0.0047,0.0000,0.0029
11.8002,0.0179,0.0179,0.0179,0.0179,0.0179,0.0179,0.0048,0.0000,0.0031
11.9021,0.0179,0.0179,0.0179,0.0179,0.0179,0.0179,0.0048,0.0000,0.0031
12.0002,0.0179,0.0179,0.0179,0.0179,0.0179,0.0179,0.0053,0.0000,0.0034
12.1002,0.0179,0.0179,0.0179,0.0179,0.0179,0.0179,0.0049,0.0000,0.0031
12.2001,0.0179,0.0179,0.0179,0.0179,0.0179,0.0179,0.0048,0.0000,0.0032
12.3001,0.0179,0.0179,0.0179,0.0179,0.0179,0.0179,0.0047,0.0000,0.0032
12.4002,0.0179,0.0179,0.0179,0.0179,0.0179,0.0179,0.0046,0.0000,0.0031
12.5001,0.0179,0.0179,0.0179,0.0179,0.0179,0.0179,0.0049,0.0000,0.0034
12.6001,0.0179,0.0179,0.0179,0.0179,0.0179,0.0179,0.0048,0.0000,0.0034
12.7001,0.0179,0.0179,0.0179,0.0179,0.0179,0.0179,0.0047,0.0000,0.0032
12.8002,0.0179,0.0179,0.0179,0.0179,0.0179,0.0179,0.0048,0.0000,0.0032
12.9005,0.0179,0.0179,0.0179,0.0179,0.0179,0.0179,0.0047,0.0000,0.0031
13.0032,0.0179,0.0179,0.0179,0.0179,0.0179,0.0179,0.0048,0.0000,0.0031
13.1013,0.0179,0.0179,0.0179,0.0179,0.0179,0.0179,0.0046,0.0000,0.0029
13.2011,0.0179,0.0179,0.0179,0.0179,0.0179,0.0179,0.0043,0.0000,0.0028
13.3008,0.0179,0.0179,0.0179,0.0179,0.0179,0.0179,0.0042,0.0000,0.0027
13.4008,0.0179,0.0179,0.0179,0.0179,0.0179,0.0179,0.0041,0.0000,0.0028
13.5002,0.0179,0.0179,0.0179,0.0179,0.0179,0.0179,0.0039,0.0000,0.0026
13.6021,0.0179,0.0179,0.0179,0.0179,0.0179,0.0179,0.0038,0.0000,0.0026
13.7001,0.0179,0.0179,0.0179,0.0179,0.0179,0.0179,0.0038,0.0000,0.0025
13.8001,0.0179,0.0179,0.0179,0.0179,0.0179,0.0179,0.0037,0.0000,0.0024
13.9036,0.0179,0.0179,0.0179,0.0179,0.0179,0.0179,0.0038,0.0000,0.0025
14.0002,0.0179,0.0179,0.0179,0.0179,0.0179,0.0179,0.0036,0.0000,0.0024
14.1001,0.0179,0.0179,0.0179,0.0179,0.0179,0.0179,0.0037,0.0000,0.0025
14.2001,0.0179,0.0179,0.0179,0.0179,0.0179,0.0179,0.0036,0.0000,0.0023
14.3001,0.0179,0.0179,0.0179,0.0179,0.0179,0.0179,0.0038,0.0000,0.0024
14.4002,0.0179,0.0179,0.0179,0.0179,0.0179,0.0179,0.0036,0.0000,0.0023
14.5001,0.0179,0.0179,0.0179,0.0179,0.0179,0.0179,0.0035,0.0000,0.0022
14.6001,0.0179,0.0179,0.0179,0.0179,0.0179,0.0179,0.0035,0.0000,0.0022
14.7002,0.0179,0.0179,0.0179,0.0179,0.0179,0.0179,0.0034,0.0000,0.0022
14.8001,0.0179,0.0179,0.0179,0.0179,0.0179,0.0179,0.0035,0.0000,0.0023
14.9002,0.0179,0.0179,0.0179,0.0179,0.0179,0.0179,0.0035,0.0000,0.0023
15.0001,0.0179,0.0179,0.0179,0.0179,0.0179,0.0179,0.0037,0.0000,0.0025
15.1002,0.0179,0.0179,0.0179,0.0179,0.0179,0.0179,0.0037,0.0000,0.0025
15.2002,0.0179,0.0179,0.0179,0.0179,0.0179,0.0179,0.0038,0.0000,0.0025
15.3116,0.0179,0.0179,0.0179,0.0179,0.0179,0.0179,0.0036,0.0000,0.0025
15.4003,0.0179,0.0179,0.0179,0.0179,0.0179,0.0179,0.0033,0.0000,0.0024
15.5001,0.0179,0.0179,0.0179,0.0179,0.0179,0.0179,0.0034,0.0000,0.0024
15.6008,0.0179,0.0179,0.0179,0.0179,0.0179,0.0179,0.0036,0.0000,0.0026
15.7001,0.0179,0.0179,0.0179,0.0179,0.0179,0.0179,0.0038,0.0001,0.0026
15.8011,0.0179,0.0179,0.0179,0.0179,0.0179,0.0179,0.0036,0.0001,0.0026
15.9039,0.0179,0.0179,0.0179,0.0179,0.0179,0.0179,0.0035,0.0001,0.0025
16.0001,0.0179,0.0179,0.0179,0.0179,0.0179,0.0179,0.0035,0.0001,0.0024
16.1001,0.0179,0.0179,0.0179,0.0179,0.0179,0.0179,0.0032,0.0001,0.0023
16.2001,0.0179,0.0179,0.0179,0.0179,0.0179,0.0179,0.0035,0.0001,0.0023
16.3001,0.0179,0.0179,0.0179,0.0179,0.0179,0.0179,0.0036,0.0001,0.0024
16.4001,0.0179,0.0179,0.0179,0.0179,0.0179,0.0179,0.0036,0.0001,0.0024
16.5001,0.0179,0.0179,0.0179,0.0179,0.0179,0.0179,0.0034,0.0001,0.0024
16.6002,0.0179,0.0179,0.0179,0.0179,0.0179,0.0179,0.0034,0.0001,0.0023
16.7001,0.0179,0.0179,0.0179,0.0179,0.0179,0.0179,0.0035,0.0001,0.0024
16.8001,0.0179,0.0179,0.0179,0.0179,0.0179,0.0179,0.0035,0.0001,0.0023
16.9002,0.0179,0.0179,0.0179,0.0179,0.0179,0.0179,0.0037,0.0001,0.0024
17.0058,0.0179,0.0179,0.0179,0.0179,0.0179,0.0179,0.0038,0.0001,0.0024
17.1002,0.0179,0.0179,0.0179,0.0179,0.0179,0.0179,0.0039,0.0001,0.0024
17.2001,0.0179,0.0179,0.0179,0.0179,0.0179,0.0179,0.0038,0.0001,0.0025
17.3001,0.0179,0.0179,0.0179,0.0179,0.0179,0.0179,0.0036,0.0001,0.0025
17.4009,0.0179,0.0179,0.0179,0.0179,0.0179,0.0179,0.0034,0.0001,0.0024
17.5001,0.0179,0.0179,0.0179,0.0179,0.0179,0.0179,0.0033,0.0001,0.0024
17.6010,0.0179,0.0179,0.0179,0.0179,0.0179,0.0179,0.0030,0.0001,0.0023
17.7002,0.0179,0.0179,0.0179,0.0179,0.0179,0.0179,0.0030,0.0001,0.0023
17.8001,0.0179,0.0179,0.0179,0.0179,0.0179,0.0179,0.0031,0.0001,0.0023
17.9037,0.0179,0.0179,0.0179,0.0179,0.0179,0.0179,0.0029,0.0001,0.0021
18.0001,0.0179,0.0179,0.0179,0.0179,0.0179,0.0179,0.0028,0.0001,0.0022
18.1001,0.0179,0.0179,0.0179,0.0179,0.0179,0.0179,0.0028,0.0001,0.0021
18.2023,0.0179,0.0179,0.0179,0.0179,0.0179,0.0179,0.0029,0.0001,0.0020
18.3079,0.0179,0.0179,0.0179,0.0179,0.0179,0.0179,0.0027,0.0001,0.0019
18.4002,0.0179,0.0179,0.0179,0.0179,0.0179,0.0179,0.0028,0.0001,0.0019
18.5001,0.0179,0.0179,0.0179,0.0179,0.0179,0.0179,0.0027,0.0001,0.0019
18.6001,0.0179,0.0179,0.0179,0.0179,0.0179,0.0179,0.0028,0.0001,0.0020
18.7018,0.0179,0.0179,0.0179,0.0179,0.0179,0.0179,0.0028,0.0001,0.0020
18.8002,0.0179,0.0179,0.0179,0.0179,0.0179,0.0179,0.0029,0.0001,0.0020
18.9002,0.0179,0.0179,0.0179,0.0179,0.0179,0.0179,0.0028,0.0001,0.0020
19.0001,0.0179,0.0179,0.0179,0.0179,0.0179,0.0179,0.0029,0.0001,0.0020
19.1027,0.0179,0.0179,0.0179,0.0179,0.0179,0.0179,0.0032,0.0002,0.0021
19.2002,0.0179,0.0179,0.0179,0.0179,0.0179,0.0179,0.0033,0.0002,0.0020
19.3002,0.0179,0.0179,0.0179,0.0179,0.0179,0.0179,0.0032,0.0002,0.0019
19.4002,0.0179,0.0179,0.0179,0.0179,0.0179,0.0179,0.0033,0.0002,0.0019
19.5029,0.0179,0.0179,0.0179,0.0179,0.0179,0.0179,0.0033,0.0002,0.0019
19.6001,0.0179,0.0179,0.0179,0.0179,0.0179,0.0179,0.0033,0.0002,0.0019
19.7036,0.0179,0.0179,0.0179,0.0179,0.0179,0.0179,0.0032,0.0002,0.0019
19.8001,0.0179,0.0179,0.0179,0.0179,0.0179,0.0179,0.0033,0.0002,0.0019
19.9001,0.0179,0.0179,0.0179,0.0179,0.0179,0.0179,0.0033,0.0002,0.0018
20.0001,0.0179,0.0179,0.0179,0.0179,0.0179,0.0179,0.0035,0.0001,0.0016
