time,kf_cov_x,kf_cov_y,kf_cov_theta,ekf_cov_x,ekf_cov_y,ekf_cov_theta,pf_cov_x,pf_cov_y,pf_cov_theta
10.0002,0.0195,0.0195,0.0000,0.0179,0.0179,0.0179,0.0056,0.0001,0.0039
10.1001,0.0190,0.0190,0.0000,0.0179,0.0179,0.0179,0.0058,0.0001,0.0039
10.2002,0.0190,0.0190,0.0000,0.0179,0.0179,0.0179,0.0057,0.0001,0.0038
10.3045,0.0189,0.0189,0.0000,0.0179,0.0179,0.0179,0.0056,0.0001,0.0035
10.4008,0.0192,0.0192,0.0000,0.0179,0.0179,0.0179,0.0056,0.0001,0.0037
10.5042,0.0194,0.0194,0.0000,0.0179,0.0179,0.0179,0.0061,0.0001,0.0038
10.6001,0.0196,0.0196,0.0000,0.0179,0.0179,0.0179,0.0066,0.0001,0.0040
10.7004,0.0192,0.0192,0.0000,0.0179,0.0179,0.0179,0.0066,0.0001,0.0040
10.8049,0.0193,0.0193,0.0000,0.0179,0.0179,0.0179,0.0064,0.0001,0.0040
10.9002,0.0192,0.0192,0.0000,0.0179,0.0179,0.0179,0.0064,0.0001,0.0042
11.0006,0.0196,0.0196,0.0000,0.0179,0.0179,0.0179,0.0064,0.0001,0.0044
11.1003,0.0192,0.0192,0.0000,0.0179,0.0179,0.0179,0.0061,0.0001,0.0043
11.2001,0.0189,0.0189,0.0000,0.0179,0.0179,0.0179,0.0062,0.0001,0.0040
11.3003,0.0190,0.0190,0.0000,0.0179,0.0179,0.0179,0.0063,0.0001,0.0041
11.4001,0.0191,0.0191,0.0000,0.0179,0.0179,0.0179,0.0063,0.0001,0.0039
11.5001,0.0188,0.0188,0.0000,0.0179,0.0179,0.0179,0.0058,0.0001,0.0038
11.6001,0.0191,0.0191,0.0000,0.0179,0.0179,0.0179,0.0059,0.0001,0.0037
11.7027,0.0191,0.0191,0.0000,0.0179,0.0179,0.0179,0.0060,0.0001,0.0036
11.8001,0.0192,0.0192,0.0000,0.0179,0.0179,0.0179,0.0064,0.0001,0.0036
11.9062,0.0195,0.0195,0.0000,0.0179,0.0179,0.0179,0.0065,0.0001,0.0037
12.0005,0.0193,0.0193,0.0000,0.0179,0.0179,0.0179,0.0067,0.0001,0.0038
12.1002,0.0190,0.0190,0.0000,0.0179,0.0179,0.0179,0.0073,0.0001,0.0038
12.2002,0.0193,0.0193,0.0000,0.0179,0.0179,0.0179,0.0070,0.0001,0.0038
12.3001,0.0192,0.0192,0.0000,0.0179,0.0179,0.0179,0.0069,0.0001,0.0039
12.4076,0.0195,0.0195,0.0000,0.0179,0.0179,0.0179,0.0071,0.0001,0.0041
12.5001,0.0192,0.0192,0.0000,0.0179,0.0179,0.0179,0.0069,0.0001,0.0041
12.6002,0.0193,0.0193,0.0000,0.0179,0.0179,0.0179,0.0069,0.0001,0.0041
12.7002,0.0192,0.0192,0.0000,0.0179,0.0179,0.0179,0.0068,0.0001,0.0041
12.8001,0.0190,0.0190,0.0000,0.0179,0.0179,0.0179,0.0067,0.0001,0.0040
12.9001,0.0190,0.0190,0.0000,0.0179,0.0179,0.0179,0.0066,0.0001,0.0039
13.0001,0.0187,0.0187,0.0000,0.0179,0.0179,0.0179,0.0062,0.0001,0.0036
13.1001,0.0192,0.0192,0.0000,0.0179,0.0179,0.0179,0.0063,0.0001,0.0036
13.2001,0.0190,0.0190,0.0000,0.0179,0.0179,0.0179,0.0063,0.0001,0.0037
13.3009,0.0189,0.0189,0.0000,0.0179,0.0179,0.0179,0.0062,0.0001,0.0036
13.4001,0.0190,0.0190,0.0000,0.0179,0.0179,0.0179,0.0062,0.0001,0.0034
13.5003,0.0192,0.0192,0.0000,0.0179,0.0179,0.0179,0.0065,0.0001,0.0035
13.6001,0.0191,0.0191,0.0000,0.0179,0.0179,0.0179,0.0059,0.0001,0.0034
13.7001,0.0194,0.0194,0.0000,0.0179,0.0179,0.0179,0.0061,0.0001,0.0037
13.8003,0.0194,0.0194,0.0000,0.0179,0.0179,0.0179,0.0065,0.0001,0.0037
13.9001,0.0190,0.0190,0.0000,0.0179,0.0179,0.0179,0.0060,0.0001,0.0036
14.0001,0.0190,0.0190,0.0000,0.0179,0.0179,0.0179,0.0058,0.0001,0.0035
14.1001,0.0193,0.0193,0.0000,0.0179,0.0179,0.0179,0.0054,0.0001,0.0034
14.2010,0.0192,0.0192,0.0000,0.0179,0.0179,0.0179,0.0056,0.0001,0.0035
14.3006,0.0190,0.0190,0.0000,0.0179,0.0179,0.0179,0.0057,0.0001,0.0034
14.4001,0.0193,0.0193,0.0000,0.0179,0.0179,0.0179,0.0060,0.0001,0.0034
14.5001,0.0191,0.0191,0.0000,0.0179,0.0179,0.0179,0.0059,0.0001,0.0034
14.6001,0.0192,0.0192,0.0000,0.0179,0.0179,0.0179,0.0060,0.0001,0.0034
14.7005,0.0187,0.0187,0.0000,0.0179,0.0179,0.0179,0.0059,0.0001,0.0034
14.8001,0.0190,0.0190,0.0000,0.0179,0.0179,0.0179,0.0058,0.0001,0.0035
14.9002,0.0195,0.0195,0.0000,0.0179,0.0179,0.0179,0.0067,0.0001,0.0038
15.0002,0.0195,0.0195,0.0000,0.0179,0.0179,0.0179,0.0068,0.0001,0.0040
15.1002,0.0193,0.0193,0.0000,0.0179,0.0179,0.0179,0.0066,0.0001,0.0040
15.2003,0.0191,0.0191,0.0000,0.0179,0.0179,0.0179,0.0065,0.0001,0.0041
15.3002,0.0191,0.0191,0.0000,0.0179,0.0179,0.0179,0.0061,0.0001,0.0039
15.4006,0.0192,0.0192,0.0000,0.0179,0.0179,0.0179,0.0060,0.0001,0.0038
15.5002,0.0195,0.0195,0.0000,0.0179,0.0179,0.0179,0.0060,0.0001,0.0040
